운영우선순위,최종순위,채널ID,채널명,대표상위세그먼트,대표하위세그먼트,채널구독자수,최근영상조회수평균,최근영상참여율평균,최종점수,채널력점수,성장성점수,팬밀도점수,라이브친화점수,실전성점수,액션버킷,shortlist_선정여부,shortlist_유형,추천사유,주의사유,자동판정근거,변화요약
11,12,UCl23-Cci_SMqyGXE1T_LYUg,성시경 SUNG SI KYUNG,,커버기타,2260000.0,119622.3,22.817902007436416,0.7492209479545077,0.8502969762419006,0.4680536392558638,1.0,0.6821799612643172,0.89272,즉시검토,True,즉시검토형,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.749, 채널력=0.850, 성장성=0.468, 팬밀도=1.000, 라이브=0.682, 실전성=0.893, 운영제외리스크=0.000, 검증필요리스크=0.091",순위 319단계 상승 / 최종점수 +0.125 / 성장성 -0.000 / 버킷 변경: 검증필요 → 즉시검토 / shortlist 신규 선정
12,13,UCG_gzMGTAnxOXxTU1LMIRNw,깨쓰통 대폭발,,서브컬쳐게임,35500.0,13024.2,0.0317641681872338,0.7484781697781944,0.6981641468682505,0.7829780722443586,0.576133909287257,0.8475009146370818,0.99272,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.748, 채널력=0.698, 성장성=0.783, 팬밀도=0.576, 라이브=0.848, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091",순위 2단계 하락 / 최종점수 -0.002 / 성장성 +0.000 / shortlist 신규 선정
13,15,UCXcYndGVH3VDYZqBrPa8iMQ,밤빼미 bamowl,,서브컬쳐게임,1490.0,9587.3,0.0328500057790874,0.7420076519349464,0.4671301295896328,0.8801382972973663,0.5950323974082073,0.9341304850143936,0.99272,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.742, 채널력=0.467, 성장성=0.880, 팬밀도=0.595, 라이브=0.934, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091",순위 5단계 상승 / 최종점수 +0.016 / 성장성 +0.000 / shortlist 신규 선정
14,16,UCxV6HwAqpzkAN1J2s9LolgQ,중국어로 [路],창작·비주얼형,코스프레,471000.0,95725.4,0.040703367999456,0.7391433410502171,0.7600836933045356,0.8416414562513105,0.7100431965442765,0.4203721168874098,0.9,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.739, 채널력=0.760, 성장성=0.842, 팬밀도=0.710, 라이브=0.420, 실전성=0.900, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 2단계 하락 / 최종점수 -0.001 / 성장성 -0.000 / shortlist 신규 선정
15,17,UC8Dbhw5zIkAudAcWB8dTZyw,홍갱우,창작·비주얼형,코스프레,5310.0,83389.9,0.0762675854774325,0.7380456641139171,0.7357721382289417,0.6496031237805692,0.9146868250539956,0.4203721168874098,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.738, 채널력=0.736, 성장성=0.650, 팬밀도=0.915, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 257단계 상승 / 최종점수 +0.103 / 성장성 +0.001 / 버킷 변경: 성장관찰 → 즉시검토 / shortlist 신규 선정
16,18,UCGb2JVNRX6iVnWqgmiFlFXg,박봉팔 Sue2,창작·비주얼형,코스프레,39300.0,6426.9,0.0312488775002356,0.7377707778850882,0.6389443844492441,0.8249611550676118,0.5701943844492441,0.738474168723263,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.738, 채널력=0.639, 성장성=0.825, 팬밀도=0.570, 라이브=0.738, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 7단계 상승 / 최종점수 +0.013 / 성장성 +0.000 / shortlist 신규 선정
17,19,UCzwnpe_nXs4g3KfWCOZJn5g,배고판,음악·보이스형,성우더빙,2870.0,1443.2,0.0354270238822065,0.7348373500566585,0.4269168466522678,0.8516669253970729,0.6398488120950324,0.8778811068071464,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.735, 채널력=0.427, 성장성=0.852, 팬밀도=0.640, 라이브=0.878, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 4단계 하락 / 최종점수 +0.001 / 성장성 +0.000 / shortlist 신규 선정
18,21,UCGQEzAvR0kOH5pj7aLI2f3w,경제적자유민족,버츄얼 퍼포먼스형,버튜버,113000.0,8845.5,0.0693084890754817,0.7300464020103923,0.6842602591792657,0.5491300239139337,0.892548596112311,0.662613647668959,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.730, 채널력=0.684, 성장성=0.549, 팬밀도=0.893, 라이브=0.663, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 3단계 상승 / 최종점수 +0.005 / 성장성 -0.000 / shortlist 신규 선정
19,22,UC3XwA9aaZdWfojyo9wKaFtw,Awesome World 어썸월드,음악·보이스형,애니송커버,1380000.0,92460.7,0.050795152552359,0.7293514925057522,0.8416306695464363,0.6151509391970341,0.7926565874730022,0.5371068865753741,0.9,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.729, 채널력=0.842, 성장성=0.615, 팬밀도=0.793, 라이브=0.537, 실전성=0.900, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 3단계 하락 / 최종점수 -0.001 / 성장성 +0.000 / shortlist 신규 선정
20,23,UCeHC6l3ufHq0TOLc10kQXAg,찌누의 금밤 ASMR,음악·보이스형,ASMR,33000.0,2985.3,0.0280537449543244,0.7265957564155757,0.669951403887689,0.7264254460269791,0.5086393088552916,0.892711164830439,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.727, 채널력=0.670, 성장성=0.726, 팬밀도=0.509, 라이브=0.893, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 2단계 하락 / 최종점수 +0.000 / 성장성 +0.000 / shortlist 신규 선정
21,24,UCGvOF1ZO_j-645M0iuuXp_w,웃서공,버츄얼 퍼포먼스형,버튜버,27600.0,657.4,0.0533241319192766,0.7250800076549956,0.5384854211663066,0.5435552455443994,0.8072354211663066,0.978839690595926,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.725, 채널력=0.538, 성장성=0.544, 팬밀도=0.807, 라이브=0.979, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 2단계 하락 / 최종점수 -0.000 / 성장성 -0.000 / shortlist 신규 선정
22,25,UChVe4AfyJQgtBkXCHnWJ-BA,은아지,버츄얼 퍼포먼스형,버튜버,5440.0,4622.0,0.0299195374434251,0.7250169290911669,0.5509719222462203,0.7905801760536378,0.5453563714902808,0.8830817011607868,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.725, 채널력=0.551, 성장성=0.791, 팬밀도=0.545, 라이브=0.883, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 7단계 하락 / 최종점수 -0.006 / 성장성 +0.000 / shortlist 신규 선정
23,26,UC0xJkTrb53qtAaGDxS2HSUw,🍭비타츄🎗️,창작·비주얼형,코스프레,11200.0,4789.1,0.0412802361332223,0.7248585958445087,0.5815874730021598,0.6346820966387781,0.7159827213822895,0.8778811068071464,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.725, 채널력=0.582, 성장성=0.635, 팬밀도=0.716, 라이브=0.878, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 1단계 상승 / 최종점수 +0.002 / 성장성 +0.001 / shortlist 신규 선정
24,27,UC_1YEM3iC_0HWKy03QHdw2Q,아델 포드 Adel Pord,창작·비주얼형,일러스트리깅,1460.0,12019.5,0.0451487423754547,0.7247950345757322,0.5598812095032397,0.6024635992351842,0.7467602591792657,0.9242940245315292,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.725, 채널력=0.560, 성장성=0.602, 팬밀도=0.747, 라이브=0.924, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 4단계 하락 / 최종점수 -0.000 / 성장성 +0.000 / shortlist 신규 선정
25,28,UCvZX-kBOoY8fEVM43pLA-jA,프나가나라다,음악·보이스형,보컬로이드JPOP커버,3910.0,76571.0,0.0570733979024984,0.72303657349139,0.6430750539956803,0.730349159277098,0.8363930885529157,0.4203721168874098,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.723, 채널력=0.643, 성장성=0.730, 팬밀도=0.836, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 2단계 하락 / 최종점수 +0.000 / 성장성 +0.000 / shortlist 신규 선정
26,29,UCT_sjfnjNsryvivCXUKGzVg,비욘드 BEYOND,창작·비주얼형,코스프레,15800.0,659.9,0.3355469193364627,0.7206559134684347,0.4424676025917926,0.5861775805528304,0.9983801295896328,0.7302645988915241,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.721, 채널력=0.442, 성장성=0.586, 팬밀도=0.998, 라이브=0.730, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",최종점수 +0.000 / 성장성 +0.000 / shortlist 신규 선정
27,30,UCfeRNnLPjkSJHWZpa3IhF9w,쏘민ssomin,게임 실황형,롤,44300.0,3705.8,0.0392712912006785,0.7191346436691923,0.6007019438444925,0.5751459345605437,0.693304535637149,0.956082376708526,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.719, 채널력=0.601, 성장성=0.575, 팬밀도=0.693, 라이브=0.956, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 2단계 하락 / 최종점수 -0.002 / 성장성 +0.001 / shortlist 신규 선정
28,31,UC2DH2DShXCf-3YXOQiX2_Lw,원붕이즈굿,,서브컬쳐게임,160000.0,26504.3,0.0509537389672513,0.7170294790529605,0.7683855291576673,0.4451606690355166,0.7937365010799136,0.8462936338049867,0.99272,즉시검토,True,즉시검토형,최종점수 상위 10% / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.717, 채널력=0.768, 성장성=0.445, 팬밀도=0.794, 라이브=0.846, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091",순위 29단계 상승 / 최종점수 +0.016 / 성장성 +0.001 / shortlist 신규 선정
29,33,UCLLTq5nDGMGQwEmqeD3Yezw,마지나이 쿠로카 Majinai Kuroka,음악·보이스형,보컬로이드JPOP커버,3740.0,1430.5,0.1122486226736446,0.7151061593516024,0.4397138228941684,0.5311588495985906,0.968682505399568,0.8435632615958332,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음,주요 자동 리스크 낮음,"최종=0.715, 채널력=0.440, 성장성=0.531, 팬밀도=0.969, 라이브=0.844, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",최종점수 +0.000 / 성장성 -0.000 / shortlist 신규 선정
30,34,UCi8tpvAj_R9GzdzH0B493tQ,디핏,창작·비주얼형,코스프레,14000.0,21374.3,0.0257514492797349,0.7147982427194426,0.780048596112311,0.7614635202860957,0.4643628509719222,0.6521195912053632,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.715, 채널력=0.780, 성장성=0.761, 팬밀도=0.464, 라이브=0.652, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 4단계 하락 / 최종점수 -0.002 / 성장성 -0.000 / shortlist 신규 선정
31,36,UC7lbDCeOCeYC11Rt5B-ZNyQ,므엥이,음악·보이스형,성우더빙,31000.0,9869.9,0.0824867410622317,0.7138774451201954,0.6741360691144709,0.598564590965904,0.9314254859611232,0.4203721168874098,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.714, 채널력=0.674, 성장성=0.599, 팬밀도=0.931, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 1단계 하락 / 최종점수 +0.000 / 성장성 +0.000 / shortlist 신규 선정
32,37,UCQCiZz3vs45zA2HkLFaSdZw,유튜버 정조,버츄얼 퍼포먼스형,버튜버,21100.0,4848.0,0.0334409699751769,0.7128207018325047,0.6050755939524837,0.6295383577967036,0.6025917926565875,0.9390875773028796,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.713, 채널력=0.605, 성장성=0.630, 팬밀도=0.603, 라이브=0.939, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 24단계 상승 / 최종점수 +0.012 / 성장성 +0.000 / shortlist 신규 선정
33,38,UCx7_eUpKsq3rJ6IpFMVBe0w,쿠냥울켈 KooNyang,음악·보이스형,성우,34100.0,22648.9,0.0582344416223899,0.7116544219020401,0.7351511879049676,0.6131105663592558,0.841792656587473,0.4203721168874098,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.712, 채널력=0.735, 성장성=0.613, 팬밀도=0.842, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 1단계 상승 / 최종점수 -0.000 / 성장성 +0.001 / shortlist 신규 선정
34,40,UC7hXVHFmyaDT3SNAiQJ4j7Q,짜몽소다,음악·보이스형,커버,21800.0,8928.6,0.0713977721185169,0.7105142425186479,0.65542656587473,0.437253650634861,0.9017278617710583,0.7700616417254227,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음,주요 자동 리스크 낮음,"최종=0.711, 채널력=0.655, 성장성=0.437, 팬밀도=0.902, 라이브=0.770, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 4단계 상승 / 최종점수 +0.001 / 성장성 +0.000 / shortlist 신규 선정
35,41,UC_SdD1NeV-4HSRJY6ESZq8A,김 츄,버츄얼 퍼포먼스형,버튜버,8530.0,5824.0,0.1266628514432435,0.7101466399730475,0.508139848812095,0.6791802359587348,0.9778617710583152,0.4203721168874098,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.710, 채널력=0.508, 성장성=0.679, 팬밀도=0.978, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 7단계 하락 / 최종점수 -0.004 / 성장성 +0.000 / shortlist 신규 선정
36,42,UCEuLCV70Fm4Ua3zn-261HhQ,키미도리_메로 KIMIDORI MERO,음악·보이스형,ASMR,57800.0,30455.2,0.0401147361839855,0.7093124745677047,0.535407667386609,0.6981426692092613,0.7041036717062635,0.8759308839245311,0.98208,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,수집 영상 수 부족,"최종=0.709, 채널력=0.535, 성장성=0.698, 팬밀도=0.704, 라이브=0.876, 실전성=0.982, 운영제외리스크=0.000, 검증필요리스크=0.224",순위 8단계 상승 / 최종점수 +0.004 / 성장성 +0.001 / shortlist 신규 선정
37,43,UChTByHpahEOxVXzp8csERhg,현서라이브,창작·비주얼형,코스프레,58400.0,9921.1,0.0343757569692569,0.709045180640674,0.6857991360691145,0.816935938898499,0.6198704103671706,0.4203721168874098,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.709, 채널력=0.686, 성장성=0.817, 팬밀도=0.620, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 27단계 하락 / 최종점수 -0.025 / 성장성 +0.000 / shortlist 신규 선정
38,44,UCtVEAvDBs8JxAdKmbIGW0aA,"Key joon - 더빙,OST",음악·보이스형,애니송커버,6520.0,6048.3,0.0750140064068466,0.7079410349682991,0.3509854211663066,0.6632109610198073,0.9114470842332614,0.8983760979656544,0.98208,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,수집 영상 수 부족,"최종=0.708, 채널력=0.351, 성장성=0.663, 팬밀도=0.911, 라이브=0.898, 실전성=0.982, 운영제외리스크=0.000, 검증필요리스크=0.224",순위 1단계 상승 / 최종점수 +0.000 / 성장성 +0.000 / shortlist 신규 선정
39,45,UCTVkjiEiaiSbEq0Qwd5XTPA,불법스님,창작·비주얼형,코스프레,68900.0,5543.5,0.0444290034828378,0.7071186528803634,0.6359611231101512,0.590356719996446,0.7408207343412527,0.7261784176136638,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.707, 채널력=0.636, 성장성=0.590, 팬밀도=0.741, 라이브=0.726, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",순위 8단계 하락 / 최종점수 -0.006 / 성장성 -0.000 / shortlist 신규 선정
40,46,UCV9WL7sW6_KjanYkUUaIDfQ,고세구 GOSEGU,,배그,544000.0,162595.8,0.0785985716013334,0.7067994640802023,0.9201133909287256,0.4634632949036029,0.92170626349892,0.4203721168874098,0.89272,즉시검토,True,즉시검토형,최종점수 상위 10% / 팬밀도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.707, 채널력=0.920, 성장성=0.463, 팬밀도=0.922, 라이브=0.420, 실전성=0.893, 운영제외리스크=0.000, 검증필요리스크=0.091",순위 298단계 상승 / 최종점수 +0.085 / 성장성 +0.000 / 버킷 변경: 검증필요 → 즉시검토 / shortlist 신규 선정
41,47,UCRQU85B3ux0lzGHWByEWAfw,로보 프로스터,버츄얼 퍼포먼스형,버튜버,63100.0,4983.3,0.046739142411114,0.7058669399062147,0.6272138228941685,0.5042578460255077,0.7580993520518359,0.8660389635396776,1.0,즉시검토,True,즉시검토형,최종점수 상위 10% / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.706, 채널력=0.627, 성장성=0.504, 팬밀도=0.758, 라이브=0.866, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000",최종점수 -0.001 / 성장성 +0.000 / shortlist 신규 선정
