최종순위,채널ID,채널명,대표상위세그먼트,대표하위세그먼트,채널구독자수,최근영상조회수평균,최근영상참여율평균,성장성점수_proxy,성장성신뢰도,성장성신뢰도등급,채널력점수,성장성점수,팬밀도점수,라이브친화점수,실전성점수,최종점수,액션버킷,성장성점수_raw,최종점수분위,채널력점수분위,성장성점수분위,팬밀도점수분위,라이브친화점수분위,실전성점수분위,shortlist_선정여부,shortlist_유형,운영우선순위,추천사유,주의사유,자동판정근거,순위변동,운영우선순위변동,최종점수변동,성장성점수변동,팬밀도점수변동,실전성점수변동,신규진입여부,액션버킷변동여부,shortlist_신규선정여부,shortlist_유지여부,shortlist_이탈여부,변동방향,변화요약,channel_thumbnail_url,channel_url,channel_custom_url,channel_title_api
11,UCGVc5JQ4nvwBQVn613AgROA,묘진,음악·보이스형,커버,3330.0,61.3,0.2138641441978056,0.6378570253055602,1.0,높음,0.3325323974082073,0.6378570253055602,0.9946004319654428,0.843365206060268,1.0,0.7270739704568001,즉시검토,0.6378570253055602,0.9946004319654428,0.2240820734341252,0.9033477321814256,0.9946004319654428,0.8882289416846653,0.8887688984881209,True,즉시검토형,9,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.727, 채널력=0.333, 성장성=0.638, 팬밀도=0.995, 라이브=0.843, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000, 수기제외=0",59.0,,0.0452832221937872,-0.0093258521112814,0.0043196544276458,0.0,False,False,True,False,False,급상승,순위 59단계 상승 / 최종점수 +0.045 / 성장성 -0.009 / shortlist 신규 선정,https://yt3.ggpht.com/9CU1oiB5qVgMtdFabx0fUtF1fpQ1VXjEC21tgOqtiVUFxyGgkFqIGtGftrsODHR_x7hAY8h93w=s800-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCGVc5JQ4nvwBQVn613AgROA,@묘진채널,묘진
12,UC7hXVHFmyaDT3SNAiQJ4j7Q,짜몽소다,음악·보이스형,커버,21800.0,7646.1,0.0758622752071419,0.4937521002814529,0.625,보통,0.6452753779697624,0.4960950626759081,0.911987041036717,0.7675976106413333,1.0,0.7266439913268796,즉시검토,0.4937521002814529,0.994060475161987,0.7624190064794817,0.3979481641468682,0.911987041036717,0.8625809935205183,0.8887688984881209,True,즉시검토형,10,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음,주요 자동 리스크 낮음,"최종=0.727, 채널력=0.645, 성장성=0.496, 팬밀도=0.912, 라이브=0.768, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000, 수기제외=0",1.0,,-0.0048114996719368,0.0070161173085646,-0.009719222462203,0.0,False,False,True,False,False,유지,순위 1단계 상승 / 최종점수 -0.005 / 성장성 +0.007 / shortlist 신규 선정,https://yt3.ggpht.com/62Mfw6JafooAjjDALVFdHX9fgm56KAWGc1Kqmcj5IkATjz9lHsQnD1kjS6a9d5LrcZ2ITLG36Q=s800-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC7hXVHFmyaDT3SNAiQJ4j7Q,@jjamongsoda,짜몽소다
13,UCGvOF1ZO_j-645M0iuuXp_w,웃서공,버츄얼 퍼포먼스형,버튜버,27700.0,686.2,0.0524163132950223,0.5393804119775351,1.0,높음,0.539389848812095,0.5393804119775351,0.8099352051835853,0.9770966662150424,1.0,0.7244425271650158,즉시검토,0.5393804119775351,0.9935205183585312,0.5923326133909287,0.7311015118790497,0.8099352051835853,0.994060475161987,0.8887688984881209,True,즉시검토형,11,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.724, 채널력=0.539, 성장성=0.539, 팬밀도=0.810, 라이브=0.977, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000, 수기제외=0",-2.0,,-0.0091985421494046,-0.0330366187596292,0.0016198704103671,0.0,False,False,True,False,False,유지,순위 2단계 하락 / 최종점수 -0.009 / 성장성 -0.033 / shortlist 신규 선정,https://yt3.ggpht.com/KT-0XvWz9o6rH_yfU52eb1HSgInmErnrtS2zZRv_0d50qgE3-tG46Sjo46Yl4sDfXq0ERqWaGg=s800-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCGvOF1ZO_j-645M0iuuXp_w,@웃서공,웃서공 
14,UCptlCVZcQYIxyNqgEltVfbw,블릿 Bullet,,서브컬쳐게임,27700.0,9541.7,0.0290695163569867,0.7085225577472095,1.0,높음,0.6698434125269979,0.7085225577472095,0.5296976241900648,0.927492916802818,0.99272,0.7231828817673952,즉시검토,0.7085225577472095,0.9929805615550756,0.7867170626349892,0.9584233261339092,0.5296976241900648,0.960583153347732,0.7308315334773218,True,즉시검토형,12,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.723, 채널력=0.670, 성장성=0.709, 팬밀도=0.530, 라이브=0.927, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091, 수기제외=0",21.0,,0.0203862822321113,0.0076667190415107,0.0075593952483801,0.0,False,False,True,False,False,급상승,순위 21단계 상승 / 최종점수 +0.020 / 성장성 +0.008 / shortlist 신규 선정,https://yt3.ggpht.com/Bux7ym_Evp_RBF1OemdIk5LovaiPzocrr4APqCnaj8z1jOACNFQ1vDJ63M4xpsELD3SggyJeoA=s800-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCptlCVZcQYIxyNqgEltVfbw,@tcojin,블릿 Bullet
15,UCXnKI_Ak-XYkXoCD_JS1YbQ,비영 B-0,음악·보이스형,커버,22900.0,21306.2,0.0929246616899244,0.5,0.0,미산출,0.6125,0.5,0.943304535637149,0.8849892008639308,0.97536,0.7171821779697626,성장관찰,0.5,0.99244060475162,0.7165226781857451,0.521598272138229,0.943304535637149,0.929535637149028,0.3115550755939524,True,성장관찰형,136,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권,성장성 신뢰도 낮음,"최종=0.717, 채널력=0.613, 성장성=0.500, 팬밀도=0.943, 라이브=0.885, 실전성=0.975, 운영제외리스크=0.000, 검증필요리스크=0.308, 수기제외=0",6.0,,0.000104211663067,0.0,-0.0048596112311015,0.0,False,False,True,False,False,상승,순위 6단계 상승 / 최종점수 +0.000 / shortlist 신규 선정,https://yt3.ggpht.com/LxVK8ThpN9QfKR5eRJ4e2DXrqAF5UqAwpFeFgMAeu_INWE7Jhu9R4RYSA5YTsMoNrB67H3ah=s800-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCXnKI_Ak-XYkXoCD_JS1YbQ,@biyeong_,비영 B-0
16,UCV9JerG8vhy1GZZoWBi84rg,와이랩 아카데미,창작·비주얼형,일러스트리깅,18200.0,4336.4,0.0870440029220405,0.7119403727480159,1.0,높음,0.4844492440604752,0.7119403727480159,0.9357451403887688,0.8425349477576849,0.81104,0.716641511111931,즉시검토,0.7119403727480159,0.991900647948164,0.4892008639308855,0.9600431965442764,0.9357451403887688,0.8868790496760259,0.0234881209503239,True,즉시검토형,13,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.717, 채널력=0.484, 성장성=0.712, 팬밀도=0.936, 라이브=0.843, 실전성=0.811, 운영제외리스크=0.100, 검증필요리스크=0.112, 수기제외=0",30.0,,0.0246203375024107,0.0947972498704559,-0.0048596112311016,0.0,False,False,True,False,False,급상승,순위 30단계 상승 / 최종점수 +0.025 / 성장성 +0.095 / shortlist 신규 선정,https://yt3.ggpht.com/78xl-kydLRzZNaelzN3UBrorsHjrjcbtRbKpsf72f8Ml8bnpCB4PNea2GYE9kX4LEBMnPMB5Ww=s800-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCV9JerG8vhy1GZZoWBi84rg,@ylabacademy,와이랩 아카데미
17,UCHexpJz2t4ZOP8leiHktJSQ,IRO(아이로),,기타 연주,12900.0,2417.2,0.0932851198552819,0.4201201285589769,1.0,높음,0.6020518358531317,0.4201201285589769,0.9438444924406048,0.9139678954834904,0.99272,0.7165996125436591,즉시검토,0.4201201285589769,0.9913606911447084,0.6949244060475162,0.142548596112311,0.9438444924406048,0.949244060475162,0.7308315334773218,True,즉시검토형,14,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,상위 세그먼트 불명확,"최종=0.717, 채널력=0.602, 성장성=0.420, 팬밀도=0.944, 라이브=0.914, 실전성=0.993, 운영제외리스크=0.000, 검증필요리스크=0.091, 수기제외=0",-7.0,,-0.0182115800860463,-0.0671268128115074,0.0037796976241899,0.0,False,False,True,False,False,하락,순위 7단계 하락 / 최종점수 -0.018 / 성장성 -0.067 / shortlist 신규 선정,https://yt3.ggpht.com/zG0ZDGB4kkiul11bqO6rxvze-Gn2I0LC4imfbnt4EYHNCnw0cnIBC-Ye4YHc1ho2Gw0BGiolsQ=s800-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCHexpJz2t4ZOP8leiHktJSQ,@iro__uta95,IRO(아이로)
18,UCCpevjShz4VagGJRUKan_aQ,김가비 GABI,음악·보이스형,커버,6240.0,10377.0,0.0808979422744614,0.5906927986564895,1.0,높음,0.7021868250539957,0.5906927986564895,0.9227861771058316,0.4197304400149833,1.0,0.7158476101012266,즉시검토,0.5906927986564895,0.9908207343412528,0.8245140388768899,0.8326133909287257,0.9227861771058316,0.5013498920086393,0.8887688984881209,True,즉시검토형,15,최종점수 상위 10% / 성장성 상위권 / 팬밀도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.716, 채널력=0.702, 성장성=0.591, 팬밀도=0.923, 라이브=0.420, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000, 수기제외=0",5.0,,0.0015717184201534,0.0036095103711819,-0.0005399568034556,0.0,False,False,True,False,False,상승,순위 5단계 상승 / 최종점수 +0.002 / 성장성 +0.004 / shortlist 신규 선정,https://yt3.ggpht.com/kuzBHmiDb1vpwmlfikEpWAIWgPoK8z1ACtI-jSQtWeXAAcPq-cWuauYgwpx5CVkFF2L5szBe_Q=s800-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCCpevjShz4VagGJRUKan_aQ,@vtubergabi,김가비 GABI
19,UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린 AOKUMO RIN,음악·보이스형,JPOP커버,247000.0,118643.7,0.0412425985074349,0.6471972457855887,1.0,높음,0.6161177105831533,0.6471972457855887,0.7105831533477321,0.8842027766929937,0.98208,0.7154702353887086,즉시검토,0.6471972457855887,0.990280777537797,0.7208423326133909,0.9152267818574514,0.7105831533477321,0.926025917926566,0.4322354211663067,True,즉시검토형,16,최종점수 상위 10% / 성장성 상위권 / 라이브친화도 상위권 / 성장성 신뢰도 양호,수집 영상 수 부족,"최종=0.715, 채널력=0.616, 성장성=0.647, 팬밀도=0.711, 라이브=0.884, 실전성=0.982, 운영제외리스크=0.000, 검증필요리스크=0.224, 수기제외=0",-17.0,,-0.0686836399256125,0.0336148405258849,0.0043196544276457,-0.01064,False,False,True,False,False,하락,순위 17단계 하락 / 최종점수 -0.069 / 성장성 +0.034 / shortlist 신규 선정,https://yt3.ggpht.com/QySeV39W4CDxJU0vpqCYiU0t1WHZnr4QMPCDmMSg0aXUHeTUU7KWLS-nA8n9nIpJK9m6E45PaA=s800-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCQmcltnre6aG9SkDRYZqFIg,@aokumorin,아오쿠모 린 AOKUMO RIN
20,UCfeRNnLPjkSJHWZpa3IhF9w,쏘민ssomin,게임 실황형,롤,44300.0,4104.5,0.0399600738197273,0.5486713023226981,1.0,높음,0.6124190064794817,0.5486713023226981,0.6954643628509719,0.9492399759310768,1.0,0.7137483022927168,즉시검토,0.5486713023226981,0.9897408207343412,0.7159827213822895,0.7532397408207343,0.6954643628509719,0.9773218142548596,0.8887688984881209,True,즉시검토형,17,최종점수 상위 10% / 라이브친화도 상위권 / 실전성 리스크 낮음 / 성장성 신뢰도 양호,주요 자동 리스크 낮음,"최종=0.714, 채널력=0.612, 성장성=0.549, 팬밀도=0.695, 라이브=0.949, 실전성=1.000, 운영제외리스크=0.000, 검증필요리스크=0.000, 수기제외=0",-2.0,,-0.0082083107941983,-0.0251039977897594,-0.0026997840172786,0.0,False,False,True,False,False,유지,순위 2단계 하락 / 최종점수 -0.008 / 성장성 -0.025 / shortlist 신규 선정,https://yt3.ggpht.com/S4_il9k7eeThz0BUxaG9O5CkOdgzybwoWeeSTKZa1etREnT3FsQ6hIqAZ11eIs4eiyg04N5DTA=s800-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCfeRNnLPjkSJHWZpa3IhF9w,@쏘민ssomin,쏘민ssomin
21,UCw0nPJhJWWEYu4g_axF_gQQ,미즈히로 슈우,음악·보이스형,보컬로이드JPOP커버,4320.0,2202.5,0.1062040825645584,0.5,0.125,낮음,0.4883369330453563,0.5,0.9600431965442764,0.9476241900647948,0.98432,0.7130688570194385,성장관찰,0.5,0.9892008639308856,0.4956803455723542,0.521598272138229,0.9600431965442764,0.9751619870410368,0.5380669546436285,True,성장관찰형,137,최종점수 상위 10% / 팬밀도 상위권 / 라이브친화도 상위권,성장성 신뢰도 낮음,"최종=0.713, 채널력=0.488, 성장성=0.500, 팬밀도=0.960, 라이브=0.948, 실전성=0.984, 운영제외리스크=0.000, 검증필요리스크=0.196, 수기제외=0",3.0,,-0.0003080453563714,0.0,-0.0037796976241901,0.0,False,False,True,False,False,유지,순위 3단계 상승 / 최종점수 -0.000 / shortlist 신규 선정,https://yt3.ggpht.com/m6ueYa0LL1r4RPI8L8NHFGEhW0bD6iSMDxZ2_k_YCsLzhx0mohJi1Ewl3hwC1SEICfgyl4zp=s800-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCw0nPJhJWWEYu4g_axF_gQQ,@mizuirosyu,미즈히로 슈우
